seqname,tax_id
WP_121541263.1,Mariprofundus_sp._EBB-1
WP_176788366.1,Methanofollis_tationis
WP_227698583.1,Sphingomonas_hengshuiensis
WP_219871381.1,Paenibacillus_oenotherae
WP_209989010.1,Azospirillum_picis
WP_119086582.1,Cryosericum_septentrionale
WP_066737472.1,Bariatricus_massiliensis
WP_111557799.1,Paracoccus_sediminilitoris
WP_041101230.1,Bacillus_badius
WP_055107819.1,Paenibacillus_ihumii
WP_136819954.1,Sphingobacterium_alkalisoli
WP_180285986.1,Azospirillum_oleiclasticum
WP_042706367.1,Methanomicrobium_mobile
WP_053582626.1,Lysinibacillus_contaminans
WP_173413577.1,Mucilaginibacter_mali
WP_053365996.1,Bacillus_sp._FJAT-27245
WP_062398647.1,Methanogenium_cariaci
WP_070365036.1,Halodesulfurarchaeum_formicicum
WP_092846784.1,Rhizobium_miluonense
WP_127145424.1,Pelagibacterium_montanilacus
WP_085035757.1,Ensifer_aridi
WP_146568913.1,Posidoniimonas_corsicana
WP_107834029.1,Opitutus_sp._ER46
WP_119305919.1,Cohaesibacter_haloalkalitolerans
WP_134760877.1,Jiella_endophytica
WP_142089487.1,Acidithiobacillus_thiooxidans
WP_190916405.1,Paenibacillus_sp._IB182496
WP_204203468.1,Bacillus_sp._RD4P76
WP_212482604.1,Bradyrhizobium_liaoningense
WP_093994152.1,Flavimaricola_marinus
WP_228101359.1,Paenibacillus_donghaensis
WP_013329831.1,Methanolacinia_petrolearia
WP_184173337.1,Rhabdobacter_roseus
WP_125672064.1,Methanodesulfokores_washburnensis
WP_206563812.1,Enemella_evansiae
WP_114743891.1,Falsibacillus_pallidus
WP_156317551.1,Cypionkella_psychrotolerans
WP_235711688.1,Acuticoccus_sp._M5D2P5
WP_142659691.1,Methylacidimicrobium_tartarophylax
WP_131856163.1,Bosea_sp._BK604
WP_121630426.1,Tropicibacter_sp._LMIT003
WP_151119727.1,Hypericibacter_adhaerens
WP_214474122.1,Cytobacillus_gottheilii
WP_174733922.1,Mesobacillus_harenae
WP_004433768.1,Bacillus_methanolicus
WP_073240254.1,Desulfotomaculum_putei
WP_050048430.1,Halanaeroarchaeum_sulfurireducens
WP_103992180.1,Halobellus_limi
WP_092996737.1,Thiohalomonas_denitrificans
WP_161821048.1,Sporotomaculum_syntrophicum
WP_182582143.1,Thiospirillum_jenense
WP_141693152.1,Thioclava_sp._SK-1
WP_221845232.1,Bacillus_sp._S/N-304-OC-R1
WP_038506028.1,Leptospirillum_ferriphilum
WP_222495825.1,Vannielia_litorea
WP_192533091.1,Phaeovibrio_sulfidiphilus
WP_076400097.1,Insolitispirillum_peregrinum
WP_102225912.1,Acidimangrovimonas_sediminis
WP_237007229.1,Halobacterium_sp._TGN-42-S1
WP_192023984.1,Paenibacillus_sp._CAU_1523
WP_061968886.1,Fictibacillus_enclensis
WP_231476510.1,Methanoculleus_sp._MH98A
WP_200178833.1,Ectothiorhodospira_mobilis
WP_200344418.1,Halochromatium_glycolicum
WP_132948474.1,Thermolongibacillus_altinsuensis
WP_127134780.1,Veillonella_caviae
WP_238479885.1,Natranaeroarchaeum_sulfidigenum
WP_116351033.1,Bacillus_sp._HNG
WP_204543687.1,Peribacillus_deserti
WP_147704887.1,Zeimonas_arvi
WP_163674056.1,Magnetospirillum_aberrantis
WP_028399489.1,Ectobacillus_panaciterrae
WP_168987725.1,Azoarcus_taiwanensis
WP_109969713.1,Methanospirillum_lacunae
WP_108308545.1,Thermodesulfobium_acidiphilum
WP_205156326.1,Faecalicatena_fissicatena
WP_125403879.1,Rhodovulum_robiginosum
WP_123929203.1,Thermodesulfitimonas_autotrophica
WP_073245179.1,Flavobacterium_flevense
WP_089731630.1,Haloarchaeobius_iranensis
WP_004572703.1,Haloferax_mediterranei
WP_159764760.1,Halovenus_sp._WSH3
WP_138193382.1,Paenibacillus_antri
WP_152214060.1,Fluviispira_multicolorata
WP_183873404.1,Pedobacter_sp._AK017
WP_220399090.1,Granulicella_sp._WH15
WP_064829683.1,Rhizobium_phaseoli
WP_096206144.1,Methanoperedens_nitroreducens
WP_224071327.1,Arachidicoccus_sp._5GH13-10
WP_223404838.1,Dyadobacter_fermentans
WP_229112442.1,Halapricum_desulfuricans
WP_092816964.1,Halopenitus_malekzadehii
WP_136646631.1,Tabrizicola_sp._YIM_78059
WP_178917033.1,Natronomonas_gomsonensis
WP_101593244.1,Bacillus_sp._M6-12
WP_090667356.1,Aureimonas_jatrophae
WP_232275463.1,Paenibacillus_sp._481
WP_185661935.1,Pelagicoccus_albus
WP_021098855.1,Rubellimicrobium_thermophilum
WP_061810111.1,Rossellomorea_vietnamensis
WP_211204646.1,Ammonifex_degensii
WP_067622911.1,Alicyclobacillus_acidiphilus
WP_182804995.1,Lacibacter_sp._S13-6-6
WP_209674189.1,Methanolinea_mesophila
WP_037278231.1,Rubellimicrobium_mesophilum
WP_090524205.1,Paracoccus_isoporae
WP_204259608.1,Lichenicola_cladoniae
WP_004077508.1,Methanoplanus_limicola
WP_148696731.1,Silvanigrella_aquatica
WP_145269813.1,Tautonia_plasticadhaerens
WP_230496826.1,Neobacillus_sp._JJ-79
WP_123214242.1,Sinomicrobium_pectinilyticum
WP_085493625.1,Paenibacillus_aquistagni
WP_119747517.1,Paracoccus_onubensis
WP_226600327.1,Mesobacillus_subterraneus
WP_018130250.1,Effusibacillus_pohliae
WP_188576581.1,Azorhizobium_oxalatiphilum
WP_006666558.1,Natrialba_aegyptia
WP_015591542.1,Archaeoglobus_sulfaticallidus
WP_102957872.1,Mangrovicella_endophytica
NLV67565.1,Spirochaetes_bacterium
MBN1855313.1,Pirellulales_bacterium
VDD89095.1,uncultured_bacterium
HEN78047.1,Nitrospirae_bacterium
TDI45517.1,Acidobacteria_bacterium
MCE3223510.1,Nitrospira_sp.
MCB1606413.1,Xanthomonadales_bacterium
MBI4168059.1,Aenigmarchaeota_archaeon
NLD67972.1,Limnobacter_sp.
MBE7554138.1,Anaerolineales_bacterium
TVR95593.1,Rhodospirillales_bacterium
MBM3346208.1,Betaproteobacteria_bacterium
MBU1119893.1,Patescibacteria_group_bacterium
MCC6804999.1,Anaerolineae_bacterium
MBI3343308.1,Gammaproteobacteria_bacterium
KPK04300.1,Gemmatimonas_sp._SG8_28
MBM4228625.1,Gammaproteobacteria_bacterium_graftm_1
PKN02430.1,Dojkabacteria_bacterium_HGW-Dojkabacteria-1
HIH44559.1,Methanoperedenaceae_archaeon
CAE7394080.1,Symbiodinium_sp._CCMP2456
BAN24801.1,Caballeronia_insecticola
HEI00611.1,Paenibacillaceae_bacterium
NBQ38608.1,Alphaproteobacteria_bacterium
MBC7634588.1,Acetobacteraceae_bacterium
MBV8150007.1,Eremiobacteraeota_bacterium
MBP8920685.1,Micropruina_sp.
BAH91330.1,Oryza_sativa
NLS97222.1,Planctomycetaceae_bacterium
MBW4093266.1,Proteobacteria_bacterium
AEJ40699.1,Sulfobacillus_acidophilus
TVS18710.1,Planctomycetaceae_bacterium
MBL0143223.1,Betaproteobacteria_bacterium
MBV9124125.1,Planctomycetes_bacterium
HCC68228.1,Patescibacteria_group_bacterium_graftm_1
VDD89031.1,uncultured_archaeon
NKB65859.1,Latescibacteria_bacterium
NOY55689.1,Actinobacteria_bacterium
MBF0430097.1,Fibrobacteria_bacterium
MCB1490389.1,Rhodobiaceae_bacterium
CAB1055550.1,Olavius_sp._associated_proteobacterium_Delta_1
MCD4803047.1,Anaerolineales_bacterium
BAP56172.1,Thioploca_ingrica
VDD89103.1,uncultured_archaeon
MBN2477810.1,Micrarchaeota_archaeon
KAF3772838.1,Nymphaea_thermarum
MBR59401.1,Myxococcales_bacterium
KAF5418372.1,ANME-2_cluster_archaeon
OPZ46239.1,Actinobacteria_bacterium_ADurb.BinA094
MSQ32290.1,Dehalococcoidia_bacterium
VDD89233.1,uncultured_bacterium_graftm_1
CAE7243541.1,Symbiodinium_sp._CCMP2592
CAE7496941.1,Symbiodinium_pilosum
NQX79830.1,Hyphomicrobiaceae_bacterium
RZN71180.1,Methanolliviera_hydrocarbonicum
VDD88728.1,uncultured_archaeon
MBI1723952.1,Gemmatimonadetes_bacterium
MBI3549998.1,Elusimicrobia_bacterium
NLN28943.1,Firmicutes_bacterium
MCD6488931.1,Desulfurococcales_archaeon
VFJ90564.1,Kentron_sp._H
MCD6233035.1,bacterium
NVM55624.1,Helarchaeota_archaeon
MBN2886808.1,Chromatiaceae_bacterium
HAT56588.1,Veillonellaceae_bacterium
MCA3586068.1,Methylocystis_sp.
MBS3055367.1,Aenigmarchaeota_archaeon
MBS0320811.1,Proteobacteria_bacterium
MBI4514075.1,Gemmatimonadetes_bacterium_graftm_1
HGO73122.1,Phycisphaerae_bacterium
NUM45912.1,Anaerolineales_bacterium
MBI4755994.1,Betaproteobacteria_bacterium
MBI5001090.1,Euryarchaeota_archaeon
MCC6027088.1,Archaeoglobus_sp.
MBN8928800.1,Rhodospirillales_bacterium
GBD31842.1,bacterium_HR33
HDN27692.1,Thioploca_sp.
MAH07081.1,Pacearchaeota_archaeon
PKM78364.1,Firmicutes_bacterium_HGW-Firmicutes-15
MBZ0271724.1,bacterium_graftm_1
MBJ7279066.1,Nanopelagicales_bacterium
NHJ02601.1,Heimdallarchaeota_archaeon
VDD88744.1,uncultured_archaeon
MBL6442735.1,Dialister_sp.
RCK75079.1,Anaerolineae_bacterium
MSV64191.1,Actinobacteria_bacterium
NRA09972.1,Myxococcales_bacterium_graftm_1
MBZ0248068.1,Burkholderiales_bacterium
EAR65047.1,Bacillus_sp._NRRL_B-14911
MBI2498641.1,Woesearchaeota_archaeon
MBP7755275.1,Thermoanaerobaculia_bacterium
MBC8115451.1,Planctomycetaceae_bacterium
MAS38181.1,Anaerolineaceae_bacterium
ACL58349.1,Methylobacterium_nodulans
MBQ4358935.1,Proteobacteria_bacterium
CEL96598.1,Vitrella_brassicaformis
SFN57053.1,Nitrosospira_briensis
RLE58107.1,Thermoprotei_archaeon
HBW85178.1,Crocinitomicaceae_bacterium
MBI3722378.1,bacterium_graftm_1
MCD6434525.1,Diapherotrites_archaeon
HHS41988.1,Solibacter_sp.
TXG75343.1,Gossypium_mustelinum
MCE2969667.1,Burkholderiales_bacterium
PJA48441.1,candidate_division_SR1_bacterium_CG_4_9_14_3_um_filter_40_9
TVQ92692.1,Deltaproteobacteria_bacterium
MCB1499781.1,Bauldia_sp.
THU42105.1,Musa_balbisiana
HAZ07418.1,Elusimicrobia_bacterium
MBW3645601.1,Actinobacteria_bacterium_graftm_1
RME77879.1,Woesearchaeota_archaeon
MBM3487190.1,Alphaproteobacteria_bacterium
MBP6243056.1,Chromatiaceae_bacterium_graftm_1
MCF6320386.1,Rhizobiaceae_bacterium
NMB54343.1,Leptolinea_sp.
RLE66934.1,Thermoprotei_archaeon
MSW74952.1,Actinobacteria_bacterium
MCD6429560.1,bacterium
MBV8106178.1,Hyphomicrobiales_bacterium
MBL8515441.1,Betaproteobacteria_bacterium
PIU13224.1,Hadesarchaea_archaeon_CG08_land_8_20_14_0_20_51_8
MAE49717.1,Pacearchaeota_archaeon_graftm_1
NAZ25899.1,Thermofilum_sp.
MAG45675.1,Nanoarchaeota_archaeon
MCA0268260.1,Bacteroidetes_bacterium
VDD89159.1,uncultured_archaeon_graftm_1
KAG6493138.1,Zingiber_officinale
VVB66844.1,Norongarragalina_meridionalis
MBA4031366.1,Planctomyces_sp.
HEC33105.1,Chloroflexi_bacterium
UCG96747.1,Burkholderiales_bacterium
NLM73152.1,Clostridiaceae_bacterium
MBT5338802.1,Falkowbacteria_bacterium
O58677.1,Pyrococcus_horikoshii
OGN88157.1,Chloroflexi_bacterium_GWC2_73_18
MBN1798933.1,Spirochaetales_bacterium
MCB1053498.1,Acidobacteria_bacterium
PHU30799.1,Capsicum_chinense
KUO71643.1,Clostridia_bacterium_BRH_c25
HHW82582.1,Actinomycetales_bacterium
MBV9409549.1,Eremiobacteraeota_bacterium
NDW04430.1,Jiella_pacifica
MBT6300390.1,Rhodobacteraceae_bacterium
ALA56892.1,Nitrospira_moscoviensis
KXA90802.1,candidate_division_MSBL1_archaeon_SCGC-AAA259D18
GDY34716.1,Acidovorax_sp._NB1
MBE9550264.1,Proteobacteria_bacterium
MBN2372527.1,bacterium_graftm_2
RLC59839.1,Chloroflexi_bacterium
OGP91707.1,Deltaproteobacteria_bacterium_RBG_16_47_11
KAG8502026.1,Gossypium_anomalum
PHT54990.1,Capsicum_baccatum
