tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3
Root,Root,root,Root,Root,,,,
Bona_Fide,Root,rank_0,Bona_Fide,Root,Bona_Fide,,,
II,Bona_Fide,rank_1,II,Root,Bona_Fide,II,,
II_graftm_1,II,rank_2,II_graftm_1,Root,Bona_Fide,II,II_graftm_1,
Mariprofundus_sp._EBB-1,II_graftm_1,rank_3,Mariprofundus_sp._EBB-1,Root,Bona_Fide,II,II_graftm_1,Mariprofundus_sp._EBB-1
III,Bona_Fide,rank_1,III,Root,Bona_Fide,III,,
A,III,rank_2,A,Root,Bona_Fide,III,A,
Methanofollis_tationis,A,rank_3,Methanofollis_tationis,Root,Bona_Fide,III,A,Methanofollis_tationis
RLP,Root,rank_0,RLP,Root,RLP,,,
IV,RLP,rank_1,IV,Root,RLP,IV,,
NonPhoto,IV,rank_2,NonPhoto,Root,RLP,IV,NonPhoto,
Sphingomonas_hengshuiensis,NonPhoto,rank_3,Sphingomonas_hengshuiensis,Root,RLP,IV,NonPhoto,Sphingomonas_hengshuiensis
YkrW,IV,rank_2,YkrW,Root,RLP,IV,YkrW,
Paenibacillus_oenotherae,YkrW,rank_3,Paenibacillus_oenotherae,Root,RLP,IV,YkrW,Paenibacillus_oenotherae
Azospirillum_picis,NonPhoto,rank_3,Azospirillum_picis,Root,RLP,IV,NonPhoto,Azospirillum_picis
Aful,IV,rank_2,Aful,Root,RLP,IV,Aful,
Cryosericum_septentrionale,Aful,rank_3,Cryosericum_septentrionale,Root,RLP,IV,Aful,Cryosericum_septentrionale
Bariatricus_massiliensis,Aful,rank_3,Bariatricus_massiliensis,Root,RLP,IV,Aful,Bariatricus_massiliensis
Paracoccus_sediminilitoris,NonPhoto,rank_3,Paracoccus_sediminilitoris,Root,RLP,IV,NonPhoto,Paracoccus_sediminilitoris
Bacillus_badius,YkrW,rank_3,Bacillus_badius,Root,RLP,IV,YkrW,Bacillus_badius
Paenibacillus_ihumii,YkrW,rank_3,Paenibacillus_ihumii,Root,RLP,IV,YkrW,Paenibacillus_ihumii
